taskid,开始时间,结束时间,园区名称,行驶里程,闭环里程,hdmap,msg,,iso,任务类型
ARCF219_20230830083827,1693355908,1693358700,YiZhuangDaLuWang,3.133546376,0,null,null,1,5.4.16.12,0
ARCF219_20230830093141,1693359101,1693360859,YiZhuangDaLuWang,9.986318315,0,null,null,1,5.4.16.13,0
ARCF219_20230830100000,1693360800,1693366860,YiZhuangDaLuWang,45.55449972,0,null,null,1,5.4.16.13,0
ARCF219_20230830131215,1693372335,1693375259,YiZhuangDaLuWang,15.62585148,0,null,null,1,5.4.16.13,0
ARCF219_20230830140000,1693375200,1693378740,YiZhuangDaLuWang,13.31085807,0,null,null,1,5.4.16.13,0
ARCF1146_20230901084337,1693529018,1693533600,WuHanJingKaiQuKaiChengLuWang,18.99626659,0,null,null,1,5.4.16.12,0
ARCF1146_20230901100000,1693533600,1693540800,WuHanJingKaiQuKaiChengLuWang,45.29768132,0,null,null,1,5.4.16.12,0
ARCF1146_20230901120000,1693540800,1693545441,WuHanJingKaiQuKaiChengLuWang,32.72320229,0,null,null,1,5.4.16.12,0
ARCF1146_20230901161315,1693555996,1693558058,WuHanJingKaiQuKaiChengLuWang,9.523631256,0,null,null,1,5.4.16.12,0
ARCF1146_20230904092911,1693790952,1693792800,WuHanJingKaiQuKaiChengLuWang,10.07268576,0,null,null,1,5.4.16.14,0
ARCF1146_20230904100000,1693792800,1693800000,WuHanJingKaiQuKaiChengLuWang,36.49461048,0,null,null,1,5.4.16.14,0
ARCF1146_20230904120000,1693800000,1693807200,WuHanJingKaiQuKaiChengLuWang,25.55265166,0,null,null,1,5.4.16.14,0
ARCF1146_20230904140000,1693807200,1693809134,WuHanJingKaiQuKaiChengLuWang,14.55616753,0,null,null,1,5.4.16.14,0
ARCF1146_20230904162932,1693816174,1693817621,WuHanJingKaiQuKaiChengLuWang,9.612981575,0,null,null,1,5.4.16.14,0
ARCF067_20230906083114,1693960275,1693965600,YiZhuangDaLuWang,14.19419046,0,null,null,1,5.3.327.2,0
ARCF067_20230906100000,1693965600,1693971420,YiZhuangDaLuWang,10.69371324,0,null,null,1,5.3.327.2,0
ARCF067_20230906122401,1693974241,1693980000,YiZhuangDaLuWang,35.97681476,0,null,null,1,5.4.16.15,0
ARCF067_20230906140000,1693980000,1693981560,YiZhuangDaLuWang,10.67702987,0,null,null,1,5.4.16.15,0
ARCF067_20230906153221,1693985542,1693987200,YiZhuangDaLuWang,9.674351554,0,null,null,1,5.4.16.15,0
ARCF067_20230906160000,1693987200,1693988700,YiZhuangDaLuWang,4.40336126,0,null,null,1,5.4.16.15,0
ARCF1299_20230908083614,1694133375,1694138400,WuHanJingKaiQuKaiChengLuWang,15.71480564,0,null,null,1,5.4.16.16,0
ARCF1299_20230908100000,1694138400,1694145600,WuHanJingKaiQuKaiChengLuWang,45.81049242,0,null,null,1,5.4.16.16,0
ARCF1299_20230908120000,1694145600,1694152800,WuHanJingKaiQuKaiChengLuWang,23.06143178,0,null,null,1,5.4.16.16,0
ARCF1299_20230908140000,1694152800,1694153431,WuHanJingKaiQuKaiChengLuWang,6.701342323,0,null,null,1,5.4.16.16,0
ARCF1299_20230908162517,1694161518,1694163137,WuHanJingKaiQuKaiChengLuWang,10.05065586,0,null,null,1,5.4.16.16,0
ARCF1146_20230911085554,1694393756,1694397600,WuHanJingKaiQuKaiChengLuWang,24.96033795,0,null,null,1,5.4.16.16,0
ARCF1146_20230911100000,1694397600,1694404800,WuHanJingKaiQuKaiChengLuWang,42.70575598,0,null,null,1,5.4.16.16,0
ARCF1146_20230911145219,1694415140,1694415882,WuHanJingKaiQuKaiChengLuWang,2.825299529,0,null,null,1,5.4.17.6,0
ARCF1146_20230911161546,1694420147,1694422483,WuHanJingKaiQuKaiChengLuWang,10.77024478,0,null,null,1,5.4.17.6,0
ARCF123_20230913085452,1694566492,1694570400,YiZhuangDaLuWang,17.94791375,0,null,null,1,5.4.16.16,0
ARCF123_20230913100000,1694570400,1694577600,YiZhuangDaLuWang,31.15338764,0,null,null,1,5.4.16.16,0
ARCF123_20230913120000,1694577600,1694584800,YiZhuangDaLuWang,27.39948935,0,null,null,1,5.4.16.16,0
ARCF123_20230913140000,1694584800,1694592000,YiZhuangDaLuWang,10.16774652,0,null,null,1,5.4.16.16,0
ARCF123_20230913160000,1694592000,1694594040,YiZhuangDaLuWang,2.510853509,0,null,null,1,5.4.16.16,0
