taskid,开始时间,结束时间,园区名称,行驶里程,闭环里程,hdmap,msg,vis,iso,任务类型
ARCF1068_20230814140000,1691992800.0,1691994743.0,WuHanJingKaiQuKaiChengLuWang,13.5177463187,0.0,null,null,null,5.4.14.19,0
ARCF1068_20230814162802,1692001682.0,1692002039.0,WuHanJingKaiQuKaiChengLuWang,2.98093872773,0.0,null,null,null,5.4.14.19,0
ARCF294_20230816083556,1692146157.0,1692148679.0,YiZhuangDaLuWang,0.0,0.0,null,null,null,5.4.15.4,16
ARCF294_20230816092106,1692148867.0,1692151200.0,YiZhuangDaLuWang,14.0095196595,0.0,null,null,null,5.4.15.4,0
ARCF294_20230816100000,1692151200.0,1692157560.0,YiZhuangDaLuWang,43.6177228398,0.0,null,null,null,5.4.15.4,0
ARCF294_20230816122200,1692159721.0,1692162600.0,YiZhuangDaLuWang,0.0132789725756,0.0,null,null,null,5.4.15.4,0
ARCF294_20230816131540,1692162941.0,1692165600.0,YiZhuangDaLuWang,11.9494317326,0.0,null,null,null,5.4.15.4,0
ARCF294_20230816140000,1692165600.0,1692166680.0,YiZhuangDaLuWang,0.633704771131,0.0,null,null,null,5.4.15.4,0
ARCF1068_20230818085849,1692320330.0,1692324000.0,WuHanJingKaiQuKaiChengLuWang,15.1680423175,13.2830837,null,null,null,5.3.304.6,8
ARCF1068_20230818100000,1692324000.0,1692331019.0,WuHanJingKaiQuKaiChengLuWang,72.2626347159,66.9215835937,null,null,null,5.3.304.6,8
ARCF1068_20230818131100,1692335461.0,1692338400.0,WuHanJingKaiQuKaiChengLuWang,33.1856683053,30.7189068645,null,null,null,5.3.304.6,8
ARCF1068_20230818140000,1692338400.0,1692345600.0,WuHanJingKaiQuKaiChengLuWang,67.5530398974,52.7529385105,null,null,null,5.3.304.6,8
ARCF1068_20230818160000,1692345600.0,1692345885.0,WuHanJingKaiQuKaiChengLuWang,0.001302558009,0.0,null,null,null,5.3.304.6,8
ARCF1260_20230821090519,1692579920.0,1692583200.0,WuHanJingKaiQuKaiChengLuWang,19.5662963021,0.0,null,null,null,5.4.16.3,0
ARCF1260_20230821100000,1692583200.0,1692590400.0,WuHanJingKaiQuKaiChengLuWang,30.368760439,0.0,null,null,null,5.4.16.3,0
ARCF1260_20230821120000,1692590400.0,1692593412.0,WuHanJingKaiQuKaiChengLuWang,13.6523200796,0.0,null,null,null,5.4.16.3,0
ARCF1260_20230821154117,1692603678.0,1692604800.0,WuHanJingKaiQuKaiChengLuWang,0.00714558524684,0.0,null,null,null,5.4.16.3,0
ARCF1260_20230821160000,1692604800.0,1692606164.0,WuHanJingKaiQuKaiChengLuWang,6.73154783106,0.0,null,null,null,5.4.16.3,0
ARCF149_20230823084603,1692751564.0,1692756000.0,YiZhuangDaLuWang,24.0103616994,0.0,null,null,null,5.4.16.3,0
